gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
COL6A2,-0.629505427417702,-1.231103450912208,-1.0900603192304374,-2.8830657597941864,18.94890656714232,17.71780311623011
MAP2K3,1.84114447244455,-0.870931636043565,-1.085894417211588,-2.872047498458262,14.655751195259127,13.784819559215562
COL6A1,-0.496574776847435,-1.1569084010505328,-1.0350197831688046,-2.7374908020413535,19.37334174862224,18.21643334757171
VWF,0.362767797404288,1.014351795556621,1.012414274569288,2.677702213578643,16.068988039673386,17.083339835230007
COL1A1,-1.05221253140789,-1.2099500482203247,-1.0079973443516934,-2.6660200157689498,20.736968572196915,19.52701852397659
ISG15,1.07240387857943,1.0855048399628089,0.9813129927417216,2.5954434255639858,16.207943982534868,17.293448822497677
AHSG,2.66911182600918,1.3057545908403405,0.9714866529473449,2.569454052952688,19.044217799663684,20.349972390504025
LCP1,0.810908579103509,1.037788160320254,0.9712762259030996,2.56889750117707,16.184975100121076,17.22276326044133
LAMC1,0.485298145523773,-0.9029140246158285,-0.9225074378590868,-2.4399104896549764,19.835566345780997,18.93265232116517
BPGM,-0.166482175253766,0.843967876279045,0.9182921193127347,2.4287615281221018,15.56495222888099,16.408920105160036
SPTA1,-0.838963537001333,0.7274337984900008,0.8986585943202492,2.376833444280044,17.110261660361118,17.83769545885112
GDA,2.40473109170197,1.1909676877286923,0.8947954365868567,2.3666159016456225,15.143231743507664,16.334199431236357
TKT,0.740131062485133,0.9043229660743073,0.8480096496055605,2.242873666366361,18.219104056149632,19.12342702222394
ARIH1,0.271210649907428,-0.8515933401303535,-0.8403380223126581,-2.222583224103786,15.260217133889032,14.408623793758679
LAMB2,-0.159727194211361,-0.8994339884576981,-0.8260830978979541,-2.1848808293248423,18.461752548710024,17.562318560252326
MPP1,-0.280011994253881,0.7344243978733918,0.8251076106061315,2.182300794109769,14.327828391778992,15.062252789652383
GPX3,-0.193340294403465,0.7324186130491448,0.8106129508404325,2.1439643309497716,17.515078108299306,18.24749672134845
LAMA2,-0.560449964560016,-0.9359085076189437,-0.8048158562109204,-2.128631780321351,19.17420188447336,18.238293376854415
VWA1,0.755849698216868,-0.7380805654069924,-0.7966588435211515,-2.1070575577088975,15.657573416903658,14.919492851496665
TGFBI,1.41566738896332,-0.6417848247971509,-0.7954388962569111,-2.103830958112309,14.67957373340444,14.03778890860729
POSTN,0.499953088986971,-0.7544983244265211,-0.7762034276043464,-2.0529556807836604,15.440441374633215,14.685943050206694
CAST,0.675800132771078,-0.7252492983484338,-0.7722929115870285,-2.042612881735058,17.39468205636102,16.669432758012587
LAMA5,-0.423027453424051,-0.8831969594759599,-0.7719060721810138,-2.041589742532259,16.90735878982832,16.02416183035236
COX7B,0.0048121369732144,0.7199769468825927,0.76961870131531,2.0355399483084704,20.600460734083114,21.320437680965707
HSPG2,0.222754285972402,-0.7829656217152348,-0.7647280309024733,-2.0226047701711334,19.55106890540255,18.768103283687314
ATP6V0D1,-0.0706797379435507,0.6994477849255833,0.7599674682157983,2.010013709807615,15.379054372205756,16.07850215713134
PM20D2,-0.0941879419530085,-0.7974072683144442,-0.7335001930556979,-1.9400112581790596,17.07783707292576,16.280429804611316
MYL9,-0.693470584370869,0.5807018511312698,0.7309619803702266,1.933298020429314,16.208054047472785,16.788755898604055
EDC4,0.400684699280306,-0.7219010786043736,-0.7293021989732138,-1.9289081175679297,16.597513329210617,15.875612250606244
S100A11,1.087176443093,0.8352676614654744,0.7289471758180851,1.927969128151997,15.330437252082069,16.165704913547543
LAMB1,-0.359961557191156,-0.8198053085161803,-0.7176018406728263,-1.8979622132009257,19.27868793925622,18.45888263074004
SMS,-0.0915822765026859,-0.7643159677553921,-0.7007843533449332,-1.8534821775318433,15.228724854475288,14.464408886719896
NID1,-0.047874850297666,-0.7543778102554413,-0.6971441752411325,-1.8438543866055306,19.71843247637135,18.96405466611591
FLNA,0.840403918636725,0.7672756175062432,0.696513580605559,1.8421865469731191,17.11335730716142,17.880632924667662
STEAP4,0.820351892956868,-0.6227410157230011,-0.6906136753359348,-1.8265820757628546,15.297594490065665,14.674853474342664
BROX,-0.0338807936934214,-0.7431711718899354,-0.6879539969560872,-1.8195475772734344,14.834094258600375,14.09092308671044
PARP3,0.277795413530074,-0.6968102307476531,-0.6865037380890832,-1.8157118338668228,15.771271427869703,15.07446119712205
HEBP1,0.176690238832996,-0.7099379126749188,-0.6850627674468861,-1.8119006565896607,14.758003177933599,14.04806526525868
HP,3.97583224326497,-0.15626660141459325,-0.6788251566915198,-1.7954029989147013,17.01235019453615,16.856083593121557
HSPA12A,-2.17402898969188,0.3126415246639045,0.6762412884027265,1.7885690081163783,15.448890891875687,15.761532416539591
HSPBP1,0.521509104635293,-0.6486389107373647,-0.6734501071859174,-1.7811867019690963,14.661379313488235,14.01274040275087
